date,pm25,pm10,o3,no2,so2,co
31-05-20,28,29,16,11,7,11
30-05-20,34,32,17,6,6,7
29-05-20,41,31,19,9,6,9
28-05-20,56,35,18,9,6,9
27-05-20,35,47,24,9,8,10
26-05-20,27,27,21,7,7,7
25-05-20,34,21,20,4,7,5
24-05-20,48,30,26,7,6,9
23-05-20,37,37,17,8,6,9
22-05-20,38,28,19,7,6,8
21-05-20,44,41,15,10,6,9
20-05-20,33,45,24,12,6,11
19-05-20,49,32,17,,6,10
18-05-20,32,39,18,,6,10
17-05-20,26,28,30,,6,9
16-05-20,35,24,15,,6,7
15-05-20,32,29,18,2,6,7
14-05-20,22,27,15,3,5,6
13-05-20,32,23,19,4,6,8
12-05-20,30,28,15,4,6,9
11-05-20,37,25,14,5,5,9
10-05-20,44,32,14,5,5,10
09-05-20,52,39,25,4,5,7
08-05-20,46,40,18,5,5,10
07-05-20,51,40,17,5,5,9
06-05-20,42,41,13,5,5,10
05-05-20,47,37,13,4,5,10
04-05-20,40,39,17,6,5,10
03-05-20,41,36,21,7,5,8
02-05-20,47,33,16,4,5,8
01-05-20,49,40,23,3,5,6
30-04-20,61,35,12,6,5,8
29-04-20,99,48,24,5,6,8
28-04-20,55,67,42,10,11,10
27-04-20,17,44,37,11,16,8
26-04-20,14,11,27,8,7,8
25-04-20,15,10,18,3,6,5
24-04-20,11,11,22,3,6,5
23-04-20,7,6,16,2,10,4
22-04-20,12,6,17,2,6,5
21-04-20,24,10,13,5,15,8
20-04-20,25,15,14,4,24,7
19-04-20,33,13,14,3,34,5
18-04-20,27,17,13,1,4,6
17-04-20,28,14,17,3,4,5
16-04-20,49,15,14,2,4,5
15-04-20,57,26,17,6,4,8
14-04-20,48,31,32,8,7,6
13-04-20,42,26,38,6,6,5
12-04-20,31,22,20,5,5,4
11-04-20,42,17,22,5,5,4
10-04-20,60,22,18,6,5,6
09-04-20,76,33,23,11,6,8
08-04-20,89,41,25,11,6,8
07-04-20,69,46,17,12,5,9
06-04-20,34,36,21,7,5,6
05-04-20,14,18,11,6,5,6
04-04-20,28,8,13,1,5,4
03-04-20,48,15,6,2,5,4
02-04-20,54,25,7,6,5,8
01-04-20,65,28,5,3,5,6
31-03-20,44,36,7,6,5,5
30-03-20,27,24,4,2,5,4
29-03-20,25,16,12,8,4,4
28-03-20,34,15,24,2,4,4
27-03-20,32,21,14,4,4,6
26-03-20,23,19,17,5,4,7
25-03-20,27,13,14,4,4,4
24-03-20,31,17,14,7,4,5
23-03-20,48,19,14,7,4,6
22-03-20,40,27,14,11,4,10
21-03-20,57,22,15,8,4,7
20-03-20,80,31,16,13,4,9
19-03-20,31,47,8,22,5,12
18-03-20,32,17,7,8,4,6
17-03-20,59,16,7,9,4,8
16-03-20,121,31,11,21,4,16
15-03-20,95,59,5,22,7,17
14-03-20,60,51,10,18,6,9
13-03-20,74,37,13,16,5,8
12-03-20,71,40,14,14,4,11
11-03-20,83,40,13,21,4,13
10-03-20,70,52,15,28,6,12
09-03-20,100,45,17,17,4,7
08-03-20,76,54,33,18,3,9
07-03-20,72,45,17,18,3,9
06-03-20,112,45,6,21,4,12
05-03-20,51,61,10,22,6,12
04-03-20,38,31,9,13,4,9
03-03-20,34,23,21,17,4,6
02-03-20,43,22,9,15,3,6
01-03-20,51,28,12,14,3,9
29-02-20,47,32,11,15,3,8
28-02-20,48,34,11,16,3,7
27-02-20,66,33,8,18,3,9
26-02-20,65,41,7,24,4,10
25-02-20,81,42,5,29,4,13
24-02-20,90,47,5,20,4,9
23-02-20,137,51,12,25,4,9
22-02-20,168,71,13,32,5,14
21-02-20,189,82,16,30,5,16
20-02-20,160,98,7,26,5,12
19-02-20,116,86,8,25,8,11
18-02-20,84,63,10,33,18,10
17-02-20,64,52,14,28,15,8
16-02-20,36,40,15,17,6,6
15-02-20,62,27,16,12,4,4
14-02-20,51,40,16,18,3,12
13-02-20,81,30,15,16,3,12
12-02-20,108,42,8,21,3,15
11-02-20,99,57,4,26,4,14
10-02-20,77,52,6,,5,11
09-02-20,27,43,3,,7,11
08-02-20,58,15,4,,3,5
07-02-20,108,33,2,,4,8
06-02-20,107,57,3,6,3,15
05-02-20,46,58,6,6,4,15
04-02-20,29,24,19,1,4,9
03-02-20,124,15,19,1,3,5
02-02-20,171,60,11,10,3,13
01-02-20,142,83,13,15,4,10
31-01-20,109,70,11,20,4,9
30-01-20,115,57,10,26,5,10
29-01-20,86,56,14,16,3,8
28-01-20,62,46,15,7,3,5
27-01-20,36,36,15,9,3,5
26-01-20,23,24,15,9,3,5
25-01-20,35,15,18,9,2,5
24-01-20,43,19,14,5,2,4
23-01-20,53,23,12,6,2,5
22-01-20,111,31,11,9,2,7
21-01-20,140,56,9,15,3,14
20-01-20,92,67,7,20,4,15
19-01-20,66,46,12,13,3,11
18-01-20,97,36,11,10,3,7
17-01-20,62,49,8,12,3,10
16-01-20,60,36,7,13,5,8
15-01-20,54,41,6,15,6,12
14-01-20,171,37,7,13,3,7
13-01-20,149,90,4,28,8,18
12-01-20,61,77,4,19,8,14
11-01-20,57,38,7,13,4,8
10-01-20,52,42,6,12,3,9
09-01-20,70,41,6,15,3,8
08-01-20,62,49,6,22,4,11
07-01-20,84,48,6,18,3,12
06-01-20,63,51,6,22,2,13
05-01-20,66,47,6,17,2,9
04-01-20,70,46,7,18,2,9
03-01-20,59,44,6,21,3,12
02-01-20,118,44,6,21,3,10
01-01-20,153,65,5,25,4,15
31-12-19,,80,5,28,4,15
29-12-19,144,,,,,
28-12-19,117,74,8,22,5,11
27-12-19,68,65,6,19,7,8
26-12-19,75,44,6,11,3,7
25-12-19,49,51,6,17,5,10
24-12-19,168,41,5,15,2,9
23-12-19,154,94,4,20,4,20
22-12-19,90,76,5,12,4,15
21-12-19,102,49,5,11,3,9
20-12-19,84,52,6,11,3,9
19-12-19,63,43,6,13,4,8
18-12-19,46,35,6,13,4,11
17-12-19,50,26,6,11,3,11
16-12-19,64,28,8,18,4,13
15-12-19,95,34,4,12,3,10
14-12-19,166,50,5,20,5,10
13-12-19,156,83,9,25,6,12
12-12-19,213,78,22,33,8,14
11-12-19,177,119,2,29,8,15
10-12-19,167,95,28,35,10,18
09-12-19,153,91,26,33,9,15
08-12-19,139,85,26,31,11,15
07-12-19,116,74,23,27,9,11
06-12-19,65,64,21,22,6,9
05-12-19,84,42,20,15,4,6
04-12-19,107,51,20,15,6,5
03-12-19,82,59,19,20,7,8
02-12-19,44,48,16,37,6,9
01-12-19,96,30,16,,,6
30-11-19,126,54,11,,,7
29-11-19,84,68,9,,,12
28-11-19,69,54,11,,,9
27-11-19,124,47,12,,,6
26-11-19,113,71,14,,,10
25-11-19,101,65,13,,,11
24-11-19,89,64,14,,,13
23-11-19,120,57,9,,,11
22-11-19,128,70,15,,,12
21-11-19,131,73,14,,,12
20-11-19,105,71,15,,,9
19-11-19,59,61,19,,,9
18-11-19,53,32,18,,,5
17-11-19,61,27,16,,,7
16-11-19,91,31,17,,,4
15-11-19,101,48,27,,,6
14-11-19,56,53,22,,,9
13-11-19,117,29,15,,,8
12-11-19,217,53,15,,,7
11-11-19,165,96,45,,,9
10-11-19,164,76,45,,,8
09-11-19,131,74,54,,,6
08-11-19,118,64,49,,,8
07-11-19,149,56,41,,,7
06-11-19,157,69,39,,,10
05-11-19,120,78,35,,,1
04-11-19,70,62,46,,,2
03-11-19,71,38,33,,,1
02-11-19,62,32,20,,,
01-11-19,61,26,15,,,
31-10-19,103,23,19,,,
30-10-19,90,53,22,,,1
29-10-19,40,47,34,,,2
28-10-19,64,23,27,,,1
27-10-19,95,29,14,,,1
26-10-19,112,44,15,,,1
25-10-19,67,52,23,,,1
24-10-19,35,32,17,,,2
23-10-19,55,16,19,,,2
22-10-19,68,28,23,,,4
21-10-19,118,36,23,,,3
20-10-19,94,56,28,,,7
19-10-19,49,46,42,,,5
18-10-19,48,29,34,,,5
17-10-19,97,24,24,23,,4
16-10-19,76,45,35,,,7
15-10-19,60,39,40,6,,5
14-10-19,58,30,23,6,,2
